lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result.failure	result.failure		assignable_variable			supported	throws	float_t	float.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.failure	result.failure		member_property			supported	throws	float_t	float.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.failure	result.failure		chained_writable_path			supported	throws	float_t	float.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.failure	result.success.float.zero		assignable_variable			supported	throws	float_t	float.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.failure	result.success.float.zero		member_property			supported	throws	float_t	float.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.failure	result.success.float.zero		chained_writable_path			supported	throws	float_t	float.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.failure	result.success.float.nonzero		assignable_variable			supported	throws	float_t	float.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.failure	result.success.float.nonzero		member_property			supported	throws	float_t	float.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.failure	result.success.float.nonzero		chained_writable_path			supported	throws	float_t	float.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.success.float.zero	result.failure		assignable_variable			supported	throws	float_t	float.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.success.float.zero	result.failure		member_property			supported	throws	float_t	float.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.success.float.zero	result.failure		chained_writable_path			supported	throws	float_t	float.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.success.float.zero	result.success.float.zero		assignable_variable			supported	deterministic_value	float_t	float.zero	true	subtract.float_zero.float_zero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs wrapper variable.
result.success.float.zero	result.success.float.zero		member_property			supported	deterministic_value	float_t	float.zero	true	subtract.float_zero.float_zero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs member property.
result.success.float.zero	result.success.float.zero		chained_writable_path			supported	deterministic_value	float_t	float.zero	true	subtract.float_zero.float_zero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs chained writable path.
result.success.float.zero	result.success.float.nonzero		assignable_variable			supported	deterministic_value	float_t	float.neg_3_5	true	subtract.float_zero.float_nonzero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs wrapper variable.
result.success.float.zero	result.success.float.nonzero		member_property			supported	deterministic_value	float_t	float.neg_3_5	true	subtract.float_zero.float_nonzero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs member property.
result.success.float.zero	result.success.float.nonzero		chained_writable_path			supported	deterministic_value	float_t	float.neg_3_5	true	subtract.float_zero.float_nonzero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs chained writable path.
result.success.float.nonzero	result.failure		assignable_variable			supported	throws	float_t	float.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.success.float.nonzero	result.failure		member_property			supported	throws	float_t	float.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.success.float.nonzero	result.failure		chained_writable_path			supported	throws	float_t	float.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.success.float.nonzero	result.success.float.zero		assignable_variable			supported	deterministic_value	float_t	float.nonzero	true	subtract.float_nonzero.float_zero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs wrapper variable.
result.success.float.nonzero	result.success.float.zero		member_property			supported	deterministic_value	float_t	float.nonzero	true	subtract.float_nonzero.float_zero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs member property.
