lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_bool.sentinel.false	result.failure					supported	throws			true	coalesce.reject.result_or_bool(int_t).result(int_t).result_or_bool.sentinel.false.rhs.result.failure	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	result.success.int.zero					supported	throws			true	coalesce.reject.result_or_bool(int_t).result(int_t).result_or_bool.sentinel.false.rhs.result.success.int.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	result.success.int.nonzero					supported	throws			true	coalesce.reject.result_or_bool(int_t).result(int_t).result_or_bool.sentinel.false.rhs.result.success.int.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	result.failure					supported	throws			true	coalesce.reject.result_or_bool(int_t).result(int_t).result_or_bool.sentinel.true.rhs.result.failure	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	result.success.int.zero					supported	throws			true	coalesce.reject.result_or_bool(int_t).result(int_t).result_or_bool.sentinel.true.rhs.result.success.int.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	result.success.int.nonzero					supported	throws			true	coalesce.reject.result_or_bool(int_t).result(int_t).result_or_bool.sentinel.true.rhs.result.success.int.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.int.zero	result.failure					supported	throws			true	coalesce.reject.result_or_bool(int_t).result(int_t).result_or_bool.success.int.zero.rhs.result.failure	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.int.zero	result.success.int.zero					supported	throws			true	coalesce.reject.result_or_bool(int_t).result(int_t).result_or_bool.success.int.zero.rhs.result.success.int.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.int.zero	result.success.int.nonzero					supported	throws			true	coalesce.reject.result_or_bool(int_t).result(int_t).result_or_bool.success.int.zero.rhs.result.success.int.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.int.nonzero	result.failure					supported	throws			true	coalesce.reject.result_or_bool(int_t).result(int_t).result_or_bool.success.int.nonzero.rhs.result.failure	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.int.nonzero	result.success.int.zero					supported	throws			true	coalesce.reject.result_or_bool(int_t).result(int_t).result_or_bool.success.int.nonzero.rhs.result.success.int.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.int.nonzero	result.success.int.nonzero					supported	throws			true	coalesce.reject.result_or_bool(int_t).result(int_t).result_or_bool.success.int.nonzero.rhs.result.success.int.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
