lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	null	null	assignable_variable	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.null.assignable	compile_fail	unsupported_unset_value_target	The current lowering only permits unset on resettable nullable or pointer-like targets, so mixed_t variables stay compile-rejected here.
mixed.null	null	null	temporary_result	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.null.temporary	compile_fail	unsupported_unset_value_target	unset requires a targetable storage form, not a temporary result.
mixed.bool.false	null	null	assignable_variable	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.bool.false.assignable	compile_fail	unsupported_unset_value_target	The current lowering only permits unset on resettable nullable or pointer-like targets, so mixed_t variables stay compile-rejected here.
mixed.bool.false	null	null	temporary_result	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.bool.false.temporary	compile_fail	unsupported_unset_value_target	unset requires a targetable storage form, not a temporary result.
mixed.bool.true	null	null	assignable_variable	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.bool.true.assignable	compile_fail	unsupported_unset_value_target	The current lowering only permits unset on resettable nullable or pointer-like targets, so mixed_t variables stay compile-rejected here.
mixed.bool.true	null	null	temporary_result	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.bool.true.temporary	compile_fail	unsupported_unset_value_target	unset requires a targetable storage form, not a temporary result.
mixed.int.zero	null	null	assignable_variable	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.int.zero.assignable	compile_fail	unsupported_unset_value_target	The current lowering only permits unset on resettable nullable or pointer-like targets, so mixed_t variables stay compile-rejected here.
mixed.int.zero	null	null	temporary_result	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.int.zero.temporary	compile_fail	unsupported_unset_value_target	unset requires a targetable storage form, not a temporary result.
mixed.int.nonzero	null	null	assignable_variable	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.int.nonzero.assignable	compile_fail	unsupported_unset_value_target	The current lowering only permits unset on resettable nullable or pointer-like targets, so mixed_t variables stay compile-rejected here.
mixed.int.nonzero	null	null	temporary_result	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.int.nonzero.temporary	compile_fail	unsupported_unset_value_target	unset requires a targetable storage form, not a temporary result.
mixed.float.zero	null	null	assignable_variable	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.float.zero.assignable	compile_fail	unsupported_unset_value_target	The current lowering only permits unset on resettable nullable or pointer-like targets, so mixed_t variables stay compile-rejected here.
mixed.float.zero	null	null	temporary_result	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.float.zero.temporary	compile_fail	unsupported_unset_value_target	unset requires a targetable storage form, not a temporary result.
mixed.float.nonzero	null	null	assignable_variable	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.float.nonzero.assignable	compile_fail	unsupported_unset_value_target	The current lowering only permits unset on resettable nullable or pointer-like targets, so mixed_t variables stay compile-rejected here.
mixed.float.nonzero	null	null	temporary_result	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.float.nonzero.temporary	compile_fail	unsupported_unset_value_target	unset requires a targetable storage form, not a temporary result.
mixed.string.empty	null	null	assignable_variable	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.string.empty.assignable	compile_fail	unsupported_unset_value_target	The current lowering only permits unset on resettable nullable or pointer-like targets, so mixed_t variables stay compile-rejected here.
mixed.string.empty	null	null	temporary_result	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.string.empty.temporary	compile_fail	unsupported_unset_value_target	unset requires a targetable storage form, not a temporary result.
mixed.string.zero_string	null	null	assignable_variable	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.string.zero_string.assignable	compile_fail	unsupported_unset_value_target	The current lowering only permits unset on resettable nullable or pointer-like targets, so mixed_t variables stay compile-rejected here.
mixed.string.zero_string	null	null	temporary_result	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.string.zero_string.temporary	compile_fail	unsupported_unset_value_target	unset requires a targetable storage form, not a temporary result.
mixed.string.bool_false_literal	null	null	assignable_variable	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.string.bool_false_literal.assignable	compile_fail	unsupported_unset_value_target	The current lowering only permits unset on resettable nullable or pointer-like targets, so mixed_t variables stay compile-rejected here.
mixed.string.bool_false_literal	null	null	temporary_result	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.string.bool_false_literal.temporary	compile_fail	unsupported_unset_value_target	unset requires a targetable storage form, not a temporary result.
mixed.string.bool_true_literal	null	null	assignable_variable	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.string.bool_true_literal.assignable	compile_fail	unsupported_unset_value_target	The current lowering only permits unset on resettable nullable or pointer-like targets, so mixed_t variables stay compile-rejected here.
mixed.string.bool_true_literal	null	null	temporary_result	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.string.bool_true_literal.temporary	compile_fail	unsupported_unset_value_target	unset requires a targetable storage form, not a temporary result.
mixed.string.nonempty_nonzero_nonbool_literal	null	null	assignable_variable	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.string.nonempty_nonzero_nonbool_literal.assignable	compile_fail	unsupported_unset_value_target	The current lowering only permits unset on resettable nullable or pointer-like targets, so mixed_t variables stay compile-rejected here.
mixed.string.nonempty_nonzero_nonbool_literal	null	null	temporary_result	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.string.nonempty_nonzero_nonbool_literal.temporary	compile_fail	unsupported_unset_value_target	unset requires a targetable storage form, not a temporary result.
mixed.hash.empty	null	null	assignable_variable	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.hash.empty.assignable	compile_fail	unsupported_unset_value_target	The current lowering only permits unset on resettable nullable or pointer-like targets, so mixed_t variables stay compile-rejected here.
mixed.hash.empty	null	null	temporary_result	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.hash.empty.temporary	compile_fail	unsupported_unset_value_target	unset requires a targetable storage form, not a temporary result.
mixed.hash.nonempty	null	null	assignable_variable	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.hash.nonempty.assignable	compile_fail	unsupported_unset_value_target	The current lowering only permits unset on resettable nullable or pointer-like targets, so mixed_t variables stay compile-rejected here.
mixed.hash.nonempty	null	null	temporary_result	null	null	compile_time_rejected	null	null	null	true	unset_value.mixed.hash.nonempty.temporary	compile_fail	unsupported_unset_value_target	unset requires a targetable storage form, not a temporary result.
