lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
nullable.empty	nullable.empty		assignable_variable			supported	throws	float_t	float.zero	true	multiply.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
nullable.empty	nullable.empty		member_property			supported	throws	float_t	float.zero	true	multiply.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
nullable.empty	nullable.empty		chained_writable_path			supported	throws	float_t	float.zero	true	multiply.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
nullable.empty	nullable.present.float.zero		assignable_variable			supported	throws	float_t	float.zero	true	multiply.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
nullable.empty	nullable.present.float.zero		member_property			supported	throws	float_t	float.zero	true	multiply.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
nullable.empty	nullable.present.float.zero		chained_writable_path			supported	throws	float_t	float.zero	true	multiply.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
nullable.empty	nullable.present.float.nonzero		assignable_variable			supported	throws	float_t	float.zero	true	multiply.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
nullable.empty	nullable.present.float.nonzero		member_property			supported	throws	float_t	float.zero	true	multiply.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
nullable.empty	nullable.present.float.nonzero		chained_writable_path			supported	throws	float_t	float.zero	true	multiply.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
nullable.present.float.zero	nullable.empty		assignable_variable			supported	throws	float_t	float.zero	true	multiply.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
