lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_bool.sentinel.false	nullable.empty					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.sentinel.false.rhs.nullable.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	nullable.present.string.empty					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.sentinel.false.rhs.nullable.present.string.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	nullable.present.string.zero_string					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.sentinel.false.rhs.nullable.present.string.zero_string	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	nullable.present.string.bool_false_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.sentinel.false.rhs.nullable.present.string.bool_false_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	nullable.present.string.bool_true_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.sentinel.false.rhs.nullable.present.string.bool_true_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	nullable.present.string.nonempty_nonzero_nonbool_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.sentinel.false.rhs.nullable.present.string.nonempty_nonzero_nonbool_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	nullable.empty					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.sentinel.true.rhs.nullable.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	nullable.present.string.empty					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.sentinel.true.rhs.nullable.present.string.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	nullable.present.string.zero_string					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.sentinel.true.rhs.nullable.present.string.zero_string	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	nullable.present.string.bool_false_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.sentinel.true.rhs.nullable.present.string.bool_false_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	nullable.present.string.bool_true_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.sentinel.true.rhs.nullable.present.string.bool_true_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	nullable.present.string.nonempty_nonzero_nonbool_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.sentinel.true.rhs.nullable.present.string.nonempty_nonzero_nonbool_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.empty	nullable.empty					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.success.string.empty.rhs.nullable.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.empty	nullable.present.string.empty					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.success.string.empty.rhs.nullable.present.string.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.empty	nullable.present.string.zero_string					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.success.string.empty.rhs.nullable.present.string.zero_string	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.empty	nullable.present.string.bool_false_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.success.string.empty.rhs.nullable.present.string.bool_false_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.empty	nullable.present.string.bool_true_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.success.string.empty.rhs.nullable.present.string.bool_true_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.empty	nullable.present.string.nonempty_nonzero_nonbool_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.success.string.empty.rhs.nullable.present.string.nonempty_nonzero_nonbool_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.zero_string	nullable.empty					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.success.string.zero_string.rhs.nullable.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.zero_string	nullable.present.string.empty					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.success.string.zero_string.rhs.nullable.present.string.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.zero_string	nullable.present.string.zero_string					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.success.string.zero_string.rhs.nullable.present.string.zero_string	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.zero_string	nullable.present.string.bool_false_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.success.string.zero_string.rhs.nullable.present.string.bool_false_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.zero_string	nullable.present.string.bool_true_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).nullable(string_t).result_or_bool.success.string.zero_string.rhs.nullable.present.string.bool_true_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
