lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_false.sentinel.false	result.failure					supported	throws			true	coalesce.result_or_false(string_t).result(string_t).result_or_false.sentinel.false.rhs.result.failure	coalesce_runtime_reject	coalesce_selected_branch_has_no_usable_value_domain	Both sides reduce to fallback-triggering states for this explicit profile combination; coalesce working slice runtime-rejects rows without a usable selected value domain.
result_or_false.sentinel.false	result.success.string.empty					supported	deterministic_value	string_t	string.empty	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.sentinel.false.rhs.result.success.string.empty	coalesce_wrapper		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	result.success.string.zero_string					supported	deterministic_value	string_t	string.zero_string	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.sentinel.false.rhs.result.success.string.zero_string	coalesce_wrapper		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	result.success.string.bool_false_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.sentinel.false.rhs.result.success.string.bool_false_literal	coalesce_wrapper		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	result.success.string.bool_true_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.sentinel.false.rhs.result.success.string.bool_true_literal	coalesce_wrapper		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	result.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.sentinel.false.rhs.result.success.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.success.string.empty	result.failure					supported	deterministic_value	string_t	string.empty	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.empty.rhs.result.failure	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.empty	result.success.string.empty					supported	deterministic_value	string_t	string.empty	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.empty.rhs.result.success.string.empty	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.empty	result.success.string.zero_string					supported	deterministic_value	string_t	string.empty	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.empty.rhs.result.success.string.zero_string	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.empty	result.success.string.bool_false_literal					supported	deterministic_value	string_t	string.empty	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.empty.rhs.result.success.string.bool_false_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.empty	result.success.string.bool_true_literal					supported	deterministic_value	string_t	string.empty	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.empty.rhs.result.success.string.bool_true_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.empty	result.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.empty	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.empty.rhs.result.success.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.zero_string	result.failure					supported	deterministic_value	string_t	string.zero_string	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.zero_string.rhs.result.failure	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.zero_string	result.success.string.empty					supported	deterministic_value	string_t	string.zero_string	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.zero_string.rhs.result.success.string.empty	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.zero_string	result.success.string.zero_string					supported	deterministic_value	string_t	string.zero_string	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.zero_string.rhs.result.success.string.zero_string	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.zero_string	result.success.string.bool_false_literal					supported	deterministic_value	string_t	string.zero_string	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.zero_string.rhs.result.success.string.bool_false_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.zero_string	result.success.string.bool_true_literal					supported	deterministic_value	string_t	string.zero_string	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.zero_string.rhs.result.success.string.bool_true_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.zero_string	result.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.zero_string	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.zero_string.rhs.result.success.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_false_literal	result.failure					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.bool_false_literal.rhs.result.failure	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_false_literal	result.success.string.empty					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.bool_false_literal.rhs.result.success.string.empty	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_false_literal	result.success.string.zero_string					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.bool_false_literal.rhs.result.success.string.zero_string	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_false_literal	result.success.string.bool_false_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.bool_false_literal.rhs.result.success.string.bool_false_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_false_literal	result.success.string.bool_true_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.bool_false_literal.rhs.result.success.string.bool_true_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_false_literal	result.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.bool_false_literal.rhs.result.success.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_true_literal	result.failure					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.bool_true_literal.rhs.result.failure	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_true_literal	result.success.string.empty					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.bool_true_literal.rhs.result.success.string.empty	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_true_literal	result.success.string.zero_string					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.bool_true_literal.rhs.result.success.string.zero_string	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_true_literal	result.success.string.bool_false_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.bool_true_literal.rhs.result.success.string.bool_false_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_true_literal	result.success.string.bool_true_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.bool_true_literal.rhs.result.success.string.bool_true_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_true_literal	result.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.bool_true_literal.rhs.result.success.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.nonempty_nonzero_nonbool_literal	result.failure					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.nonempty_nonzero_nonbool_literal.rhs.result.failure	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.nonempty_nonzero_nonbool_literal	result.success.string.empty					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.nonempty_nonzero_nonbool_literal.rhs.result.success.string.empty	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.nonempty_nonzero_nonbool_literal	result.success.string.zero_string					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.nonempty_nonzero_nonbool_literal.rhs.result.success.string.zero_string	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.nonempty_nonzero_nonbool_literal	result.success.string.bool_false_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.nonempty_nonzero_nonbool_literal.rhs.result.success.string.bool_false_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.nonempty_nonzero_nonbool_literal	result.success.string.bool_true_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.nonempty_nonzero_nonbool_literal.rhs.result.success.string.bool_true_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.nonempty_nonzero_nonbool_literal	result.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.result_or_false(string_t).result(string_t).result_or_false.success.string.nonempty_nonzero_nonbool_literal.rhs.result.success.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
