lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_bool.sentinel.false	result_or_bool.sentinel.false					supported	deterministic_value	result_or_bool<bool_t>	result_or_bool.sentinel.false	true	elvis.result_or_bool<bool_t>.result_or_bool.sentinel.false.rhs.result_or_bool.sentinel.false	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
result_or_bool.sentinel.false	result_or_bool.sentinel.true					supported	deterministic_value	result_or_bool<bool_t>	result_or_bool.sentinel.true	true	elvis.result_or_bool<bool_t>.result_or_bool.sentinel.false.rhs.result_or_bool.sentinel.true	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
result_or_bool.sentinel.false	result_or_bool.success.bool.false					supported	deterministic_value	result_or_bool<bool_t>	result_or_bool.success.bool.false	true	elvis.result_or_bool<bool_t>.result_or_bool.sentinel.false.rhs.result_or_bool.success.bool.false	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
result_or_bool.sentinel.false	result_or_bool.success.bool.true					supported	deterministic_value	result_or_bool<bool_t>	result_or_bool.success.bool.true	true	elvis.result_or_bool<bool_t>.result_or_bool.sentinel.false.rhs.result_or_bool.success.bool.true	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
result_or_bool.sentinel.true	result_or_bool.sentinel.false					supported	deterministic_value	result_or_bool<bool_t>	result_or_bool.sentinel.true	true	elvis.result_or_bool<bool_t>.result_or_bool.sentinel.true.rhs.result_or_bool.sentinel.false	runtime_success		Truthy wrapper-aware elvis condition preserves the left wrapper value.
result_or_bool.sentinel.true	result_or_bool.sentinel.true					supported	deterministic_value	result_or_bool<bool_t>	result_or_bool.sentinel.true	true	elvis.result_or_bool<bool_t>.result_or_bool.sentinel.true.rhs.result_or_bool.sentinel.true	runtime_success		Truthy wrapper-aware elvis condition preserves the left wrapper value.
result_or_bool.sentinel.true	result_or_bool.success.bool.false					supported	deterministic_value	result_or_bool<bool_t>	result_or_bool.sentinel.true	true	elvis.result_or_bool<bool_t>.result_or_bool.sentinel.true.rhs.result_or_bool.success.bool.false	runtime_success		Truthy wrapper-aware elvis condition preserves the left wrapper value.
result_or_bool.sentinel.true	result_or_bool.success.bool.true					supported	deterministic_value	result_or_bool<bool_t>	result_or_bool.sentinel.true	true	elvis.result_or_bool<bool_t>.result_or_bool.sentinel.true.rhs.result_or_bool.success.bool.true	runtime_success		Truthy wrapper-aware elvis condition preserves the left wrapper value.
result_or_bool.success.bool.false	result_or_bool.sentinel.false					supported	deterministic_value	result_or_bool<bool_t>	result_or_bool.sentinel.false	true	elvis.result_or_bool<bool_t>.result_or_bool.success.bool.false.rhs.result_or_bool.sentinel.false	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
result_or_bool.success.bool.false	result_or_bool.sentinel.true					supported	deterministic_value	result_or_bool<bool_t>	result_or_bool.sentinel.true	true	elvis.result_or_bool<bool_t>.result_or_bool.success.bool.false.rhs.result_or_bool.sentinel.true	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
result_or_bool.success.bool.false	result_or_bool.success.bool.false					supported	deterministic_value	result_or_bool<bool_t>	result_or_bool.success.bool.false	true	elvis.result_or_bool<bool_t>.result_or_bool.success.bool.false.rhs.result_or_bool.success.bool.false	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
result_or_bool.success.bool.false	result_or_bool.success.bool.true					supported	deterministic_value	result_or_bool<bool_t>	result_or_bool.success.bool.true	true	elvis.result_or_bool<bool_t>.result_or_bool.success.bool.false.rhs.result_or_bool.success.bool.true	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
result_or_bool.success.bool.true	result_or_bool.sentinel.false					supported	deterministic_value	result_or_bool<bool_t>	result_or_bool.success.bool.true	true	elvis.result_or_bool<bool_t>.result_or_bool.success.bool.true.rhs.result_or_bool.sentinel.false	runtime_success		Truthy wrapper-aware elvis condition preserves the left wrapper value.
result_or_bool.success.bool.true	result_or_bool.sentinel.true					supported	deterministic_value	result_or_bool<bool_t>	result_or_bool.success.bool.true	true	elvis.result_or_bool<bool_t>.result_or_bool.success.bool.true.rhs.result_or_bool.sentinel.true	runtime_success		Truthy wrapper-aware elvis condition preserves the left wrapper value.
result_or_bool.success.bool.true	result_or_bool.success.bool.false					supported	deterministic_value	result_or_bool<bool_t>	result_or_bool.success.bool.true	true	elvis.result_or_bool<bool_t>.result_or_bool.success.bool.true.rhs.result_or_bool.success.bool.false	runtime_success		Truthy wrapper-aware elvis condition preserves the left wrapper value.
result_or_bool.success.bool.true	result_or_bool.success.bool.true					supported	deterministic_value	result_or_bool<bool_t>	result_or_bool.success.bool.true	true	elvis.result_or_bool<bool_t>.result_or_bool.success.bool.true.rhs.result_or_bool.success.bool.true	runtime_success		Truthy wrapper-aware elvis condition preserves the left wrapper value.
