lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
nullable.empty	nullable.empty					supported	deterministic_value	bool_t	bool.false	true	not_identical.nullable_empty.nullable_empty	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.empty	nullable.present.string.empty					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_empty.nullable_present_string_empty	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.empty	nullable.present.string.zero_string					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_empty.nullable_present_string_zero_string	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.empty	nullable.present.string.bool_false_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_empty.nullable_present_string_bool_false_literal	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.empty	nullable.present.string.bool_true_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_empty.nullable_present_string_bool_true_literal	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.empty	nullable.present.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_empty.nullable_present_string_nonempty_nonzero_nonbool_literal	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.empty	nullable.empty					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_empty.nullable_empty	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.empty	nullable.present.string.empty					supported	deterministic_value	bool_t	bool.false	true	not_identical.nullable_present_string_empty.nullable_present_string_empty	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.empty	nullable.present.string.zero_string					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_empty.nullable_present_string_zero_string	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.empty	nullable.present.string.bool_false_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_empty.nullable_present_string_bool_false_literal	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.empty	nullable.present.string.bool_true_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_empty.nullable_present_string_bool_true_literal	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.empty	nullable.present.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_empty.nullable_present_string_nonempty_nonzero_nonbool_literal	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.zero_string	nullable.empty					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_zero_string.nullable_empty	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.zero_string	nullable.present.string.empty					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_zero_string.nullable_present_string_empty	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.zero_string	nullable.present.string.zero_string					supported	deterministic_value	bool_t	bool.false	true	not_identical.nullable_present_string_zero_string.nullable_present_string_zero_string	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.zero_string	nullable.present.string.bool_false_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_zero_string.nullable_present_string_bool_false_literal	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.zero_string	nullable.present.string.bool_true_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_zero_string.nullable_present_string_bool_true_literal	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.zero_string	nullable.present.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_zero_string.nullable_present_string_nonempty_nonzero_nonbool_literal	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.bool_false_literal	nullable.empty					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_bool_false_literal.nullable_empty	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.bool_false_literal	nullable.present.string.empty					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_bool_false_literal.nullable_present_string_empty	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.bool_false_literal	nullable.present.string.zero_string					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_bool_false_literal.nullable_present_string_zero_string	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.bool_false_literal	nullable.present.string.bool_false_literal					supported	deterministic_value	bool_t	bool.false	true	not_identical.nullable_present_string_bool_false_literal.nullable_present_string_bool_false_literal	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.bool_false_literal	nullable.present.string.bool_true_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_bool_false_literal.nullable_present_string_bool_true_literal	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.bool_false_literal	nullable.present.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_bool_false_literal.nullable_present_string_nonempty_nonzero_nonbool_literal	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.bool_true_literal	nullable.empty					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_bool_true_literal.nullable_empty	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.bool_true_literal	nullable.present.string.empty					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_bool_true_literal.nullable_present_string_empty	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.bool_true_literal	nullable.present.string.zero_string					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_bool_true_literal.nullable_present_string_zero_string	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.bool_true_literal	nullable.present.string.bool_false_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_bool_true_literal.nullable_present_string_bool_false_literal	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.bool_true_literal	nullable.present.string.bool_true_literal					supported	deterministic_value	bool_t	bool.false	true	not_identical.nullable_present_string_bool_true_literal.nullable_present_string_bool_true_literal	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.bool_true_literal	nullable.present.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_bool_true_literal.nullable_present_string_nonempty_nonzero_nonbool_literal	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
nullable.present.string.nonempty_nonzero_nonbool_literal	nullable.empty					supported	deterministic_value	bool_t	bool.true	true	not_identical.nullable_present_string_nonempty_nonzero_nonbool_literal.nullable_empty	runtime_success		Nullable strict identity normalizes empty to PHP null and otherwise compares wrapped values strictly.
