lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
nullable.empty	result_or_false.sentinel.false					supported	throws			true	coalesce.nullable(string_t).result_or_false(string_t).nullable.empty.rhs.result_or_false.sentinel.false	coalesce_runtime_reject	coalesce_selected_branch_has_no_usable_value_domain	Both sides reduce to fallback-triggering states for this explicit profile combination; coalesce working slice runtime-rejects rows without a usable selected value domain.
nullable.empty	result_or_false.success.string.empty					supported	deterministic_value	string_t	string.empty	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.empty.rhs.result_or_false.success.string.empty	coalesce_wrapper		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
nullable.empty	result_or_false.success.string.zero_string					supported	deterministic_value	string_t	string.zero_string	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.empty.rhs.result_or_false.success.string.zero_string	coalesce_wrapper		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
nullable.empty	result_or_false.success.string.bool_false_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.empty.rhs.result_or_false.success.string.bool_false_literal	coalesce_wrapper		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
nullable.empty	result_or_false.success.string.bool_true_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.empty.rhs.result_or_false.success.string.bool_true_literal	coalesce_wrapper		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
nullable.empty	result_or_false.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.empty.rhs.result_or_false.success.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
nullable.present.string.empty	result_or_false.sentinel.false					supported	deterministic_value	string_t	string.empty	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.empty.rhs.result_or_false.sentinel.false	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.empty	result_or_false.success.string.empty					supported	deterministic_value	string_t	string.empty	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.empty.rhs.result_or_false.success.string.empty	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.empty	result_or_false.success.string.zero_string					supported	deterministic_value	string_t	string.empty	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.empty.rhs.result_or_false.success.string.zero_string	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.empty	result_or_false.success.string.bool_false_literal					supported	deterministic_value	string_t	string.empty	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.empty.rhs.result_or_false.success.string.bool_false_literal	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.empty	result_or_false.success.string.bool_true_literal					supported	deterministic_value	string_t	string.empty	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.empty.rhs.result_or_false.success.string.bool_true_literal	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.empty	result_or_false.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.empty	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.empty.rhs.result_or_false.success.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.zero_string	result_or_false.sentinel.false					supported	deterministic_value	string_t	string.zero_string	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.zero_string.rhs.result_or_false.sentinel.false	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.zero_string	result_or_false.success.string.empty					supported	deterministic_value	string_t	string.zero_string	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.zero_string.rhs.result_or_false.success.string.empty	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.zero_string	result_or_false.success.string.zero_string					supported	deterministic_value	string_t	string.zero_string	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.zero_string.rhs.result_or_false.success.string.zero_string	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.zero_string	result_or_false.success.string.bool_false_literal					supported	deterministic_value	string_t	string.zero_string	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.zero_string.rhs.result_or_false.success.string.bool_false_literal	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.zero_string	result_or_false.success.string.bool_true_literal					supported	deterministic_value	string_t	string.zero_string	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.zero_string.rhs.result_or_false.success.string.bool_true_literal	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.zero_string	result_or_false.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.zero_string	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.zero_string.rhs.result_or_false.success.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.bool_false_literal	result_or_false.sentinel.false					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.bool_false_literal.rhs.result_or_false.sentinel.false	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.bool_false_literal	result_or_false.success.string.empty					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.bool_false_literal.rhs.result_or_false.success.string.empty	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.bool_false_literal	result_or_false.success.string.zero_string					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.bool_false_literal.rhs.result_or_false.success.string.zero_string	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.bool_false_literal	result_or_false.success.string.bool_false_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.bool_false_literal.rhs.result_or_false.success.string.bool_false_literal	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.bool_false_literal	result_or_false.success.string.bool_true_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.bool_false_literal.rhs.result_or_false.success.string.bool_true_literal	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.bool_false_literal	result_or_false.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.bool_false_literal.rhs.result_or_false.success.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.bool_true_literal	result_or_false.sentinel.false					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.bool_true_literal.rhs.result_or_false.sentinel.false	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.bool_true_literal	result_or_false.success.string.empty					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.bool_true_literal.rhs.result_or_false.success.string.empty	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.bool_true_literal	result_or_false.success.string.zero_string					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.bool_true_literal.rhs.result_or_false.success.string.zero_string	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.bool_true_literal	result_or_false.success.string.bool_false_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.bool_true_literal.rhs.result_or_false.success.string.bool_false_literal	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.bool_true_literal	result_or_false.success.string.bool_true_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.bool_true_literal.rhs.result_or_false.success.string.bool_true_literal	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.bool_true_literal	result_or_false.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.bool_true_literal.rhs.result_or_false.success.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.nonempty_nonzero_nonbool_literal	result_or_false.sentinel.false					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.nonempty_nonzero_nonbool_literal.rhs.result_or_false.sentinel.false	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.nonempty_nonzero_nonbool_literal	result_or_false.success.string.empty					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.nonempty_nonzero_nonbool_literal.rhs.result_or_false.success.string.empty	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.nonempty_nonzero_nonbool_literal	result_or_false.success.string.zero_string					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.nonempty_nonzero_nonbool_literal.rhs.result_or_false.success.string.zero_string	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.nonempty_nonzero_nonbool_literal	result_or_false.success.string.bool_false_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.nonempty_nonzero_nonbool_literal.rhs.result_or_false.success.string.bool_false_literal	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
nullable.present.string.nonempty_nonzero_nonbool_literal	result_or_false.success.string.bool_true_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.nullable(string_t).result_or_false(string_t).nullable.present.string.nonempty_nonzero_nonbool_literal.rhs.result_or_false.success.string.bool_true_literal	coalesce_wrapper		Approved nullable wrapper auto-unpacks on present state for coalesce.
