lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_false.sentinel.false	result_or_false.sentinel.false		assignable_variable			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_false.sentinel.false	result_or_false.sentinel.false		member_property			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_false.sentinel.false	result_or_false.sentinel.false		chained_writable_path			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_false.sentinel.false	result_or_false.success.int.zero		assignable_variable			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_false.sentinel.false	result_or_false.success.int.zero		member_property			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_false.sentinel.false	result_or_false.success.int.zero		chained_writable_path			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_false.sentinel.false	result_or_false.success.int.nonzero		assignable_variable			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_false.sentinel.false	result_or_false.success.int.nonzero		member_property			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_false.sentinel.false	result_or_false.success.int.nonzero		chained_writable_path			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_false.success.int.zero	result_or_false.sentinel.false		assignable_variable			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_false.success.int.zero	result_or_false.sentinel.false		member_property			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_false.success.int.zero	result_or_false.sentinel.false		chained_writable_path			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_false.success.int.zero	result_or_false.success.int.zero		assignable_variable			supported	throws	int_t	int.zero	true	modulo.rhs.zero	runtime_throw	modulo_by_zero	Modulo rejects a zero right operand.
result_or_false.success.int.zero	result_or_false.success.int.zero		member_property			supported	throws	int_t	int.zero	true	modulo.rhs.zero	runtime_throw	modulo_by_zero	Modulo rejects a zero right operand.
result_or_false.success.int.zero	result_or_false.success.int.zero		chained_writable_path			supported	throws	int_t	int.zero	true	modulo.rhs.zero	runtime_throw	modulo_by_zero	Modulo rejects a zero right operand.
result_or_false.success.int.zero	result_or_false.success.int.nonzero		assignable_variable			supported	deterministic_value	int_t	int.zero	true	modulo.int_zero.int_nonzero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs wrapper variable.
