lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	mixed.null					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_null.mixed_null	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.null	mixed.bool.false					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_null.mixed_bool_false	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.null	mixed.bool.true					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_null.mixed_bool_true	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.null	mixed.int.zero					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_null.mixed_int_zero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.null	mixed.int.nonzero					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_null.mixed_int_nonzero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.null	mixed.float.zero					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_null.mixed_float_zero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.null	mixed.float.nonzero					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_null.mixed_float_nonzero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.null	mixed.string.empty					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_null.mixed_string_empty	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.null	mixed.string.zero_string					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_null.mixed_string_zero_string	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.null	mixed.string.bool_false_literal					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_null.mixed_string_bool_false_literal	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.null	mixed.string.bool_true_literal					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_null.mixed_string_bool_true_literal	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.null	mixed.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_null.mixed_string_nonempty_nonzero_nonbool_literal	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.null	mixed.hash.empty					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_null.mixed_hash_empty	runtime_success		Mixed shared-hash to scalar inequality is defined to return true.
mixed.null	mixed.hash.nonempty					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_null.mixed_hash_nonempty	runtime_success		Mixed shared-hash to scalar inequality is defined to return true.
mixed.bool.false	mixed.null					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_bool_false.mixed_null	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.false	mixed.bool.false					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_bool_false.mixed_bool_false	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.false	mixed.bool.true					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_bool_false.mixed_bool_true	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.false	mixed.int.zero					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_bool_false.mixed_int_zero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.false	mixed.int.nonzero					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_bool_false.mixed_int_nonzero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.false	mixed.float.zero					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_bool_false.mixed_float_zero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.false	mixed.float.nonzero					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_bool_false.mixed_float_nonzero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.false	mixed.string.empty					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_bool_false.mixed_string_empty	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.false	mixed.string.zero_string					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_bool_false.mixed_string_zero_string	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.false	mixed.string.bool_false_literal					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_bool_false.mixed_string_bool_false_literal	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.false	mixed.string.bool_true_literal					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_bool_false.mixed_string_bool_true_literal	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.false	mixed.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_bool_false.mixed_string_nonempty_nonzero_nonbool_literal	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.false	mixed.hash.empty					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_bool_false.mixed_hash_empty	runtime_success		Mixed shared-hash to scalar inequality is defined to return true.
mixed.bool.false	mixed.hash.nonempty					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_bool_false.mixed_hash_nonempty	runtime_success		Mixed shared-hash to scalar inequality is defined to return true.
mixed.bool.true	mixed.null					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_bool_true.mixed_null	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.true	mixed.bool.false					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_bool_true.mixed_bool_false	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.true	mixed.bool.true					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_bool_true.mixed_bool_true	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.true	mixed.int.zero					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_bool_true.mixed_int_zero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.true	mixed.int.nonzero					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_bool_true.mixed_int_nonzero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.true	mixed.float.zero					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_bool_true.mixed_float_zero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.true	mixed.float.nonzero					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_bool_true.mixed_float_nonzero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.true	mixed.string.empty					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_bool_true.mixed_string_empty	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.true	mixed.string.zero_string					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_bool_true.mixed_string_zero_string	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.true	mixed.string.bool_false_literal					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_bool_true.mixed_string_bool_false_literal	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.true	mixed.string.bool_true_literal					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_bool_true.mixed_string_bool_true_literal	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.true	mixed.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_bool_true.mixed_string_nonempty_nonzero_nonbool_literal	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.bool.true	mixed.hash.empty					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_bool_true.mixed_hash_empty	runtime_success		Mixed shared-hash to scalar inequality is defined to return true.
mixed.bool.true	mixed.hash.nonempty					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_bool_true.mixed_hash_nonempty	runtime_success		Mixed shared-hash to scalar inequality is defined to return true.
mixed.int.zero	mixed.null					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_int_zero.mixed_null	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.int.zero	mixed.bool.false					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_int_zero.mixed_bool_false	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.int.zero	mixed.bool.true					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_int_zero.mixed_bool_true	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.int.zero	mixed.int.zero					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_int_zero.mixed_int_zero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.int.zero	mixed.int.nonzero					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_int_zero.mixed_int_nonzero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.int.zero	mixed.float.zero					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_int_zero.mixed_float_zero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.int.zero	mixed.float.nonzero					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_int_zero.mixed_float_nonzero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.int.zero	mixed.string.empty					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_int_zero.mixed_string_empty	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.int.zero	mixed.string.zero_string					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_int_zero.mixed_string_zero_string	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.int.zero	mixed.string.bool_false_literal					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_int_zero.mixed_string_bool_false_literal	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.int.zero	mixed.string.bool_true_literal					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_int_zero.mixed_string_bool_true_literal	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.int.zero	mixed.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_int_zero.mixed_string_nonempty_nonzero_nonbool_literal	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.int.zero	mixed.hash.empty					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_int_zero.mixed_hash_empty	runtime_success		Mixed shared-hash to scalar inequality is defined to return true.
mixed.int.zero	mixed.hash.nonempty					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_int_zero.mixed_hash_nonempty	runtime_success		Mixed shared-hash to scalar inequality is defined to return true.
mixed.int.nonzero	mixed.null					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_int_nonzero.mixed_null	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.int.nonzero	mixed.bool.false					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_int_nonzero.mixed_bool_false	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.int.nonzero	mixed.bool.true					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_int_nonzero.mixed_bool_true	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.int.nonzero	mixed.int.zero					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_int_nonzero.mixed_int_zero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.int.nonzero	mixed.int.nonzero					supported	deterministic_value	bool_t	bool.false	true	not_equal.mixed_int_nonzero.mixed_int_nonzero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.int.nonzero	mixed.float.zero					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_int_nonzero.mixed_float_zero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
mixed.int.nonzero	mixed.float.nonzero					supported	deterministic_value	bool_t	bool.true	true	not_equal.mixed_int_nonzero.mixed_float_nonzero	runtime_success		Mixed equality follows emitted PHP loose comparison semantics for the current runtime values.
