lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_bool.sentinel.false	string.empty					supported	throws			true	coalesce.reject.result_or_bool(string_t).string_t.result_or_bool.sentinel.false.rhs.string.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	string.zero_string					supported	throws			true	coalesce.reject.result_or_bool(string_t).string_t.result_or_bool.sentinel.false.rhs.string.zero_string	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	string.bool_false_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).string_t.result_or_bool.sentinel.false.rhs.string.bool_false_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	string.bool_true_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).string_t.result_or_bool.sentinel.false.rhs.string.bool_true_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	string.nonempty_nonzero_nonbool_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).string_t.result_or_bool.sentinel.false.rhs.string.nonempty_nonzero_nonbool_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	string.empty					supported	throws			true	coalesce.reject.result_or_bool(string_t).string_t.result_or_bool.sentinel.true.rhs.string.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	string.zero_string					supported	throws			true	coalesce.reject.result_or_bool(string_t).string_t.result_or_bool.sentinel.true.rhs.string.zero_string	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	string.bool_false_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).string_t.result_or_bool.sentinel.true.rhs.string.bool_false_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	string.bool_true_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).string_t.result_or_bool.sentinel.true.rhs.string.bool_true_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	string.nonempty_nonzero_nonbool_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).string_t.result_or_bool.sentinel.true.rhs.string.nonempty_nonzero_nonbool_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
