lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result.failure	result.failure		assignable_variable			supported	throws	int_t	int.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.failure	result.failure		member_property			supported	throws	int_t	int.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.failure	result.failure		chained_writable_path			supported	throws	int_t	int.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.failure	result.success.int.zero		assignable_variable			supported	throws	int_t	int.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.failure	result.success.int.zero		member_property			supported	throws	int_t	int.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.failure	result.success.int.zero		chained_writable_path			supported	throws	int_t	int.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.failure	result.success.int.nonzero		assignable_variable			supported	throws	int_t	int.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.failure	result.success.int.nonzero		member_property			supported	throws	int_t	int.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.failure	result.success.int.nonzero		chained_writable_path			supported	throws	int_t	int.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.success.int.zero	result.failure		assignable_variable			supported	throws	int_t	int.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.success.int.zero	result.failure		member_property			supported	throws	int_t	int.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.success.int.zero	result.failure		chained_writable_path			supported	throws	int_t	int.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.success.int.zero	result.success.int.zero		assignable_variable			supported	deterministic_value	int_t	int.zero	true	subtract.int_zero.int_zero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs wrapper variable.
result.success.int.zero	result.success.int.zero		member_property			supported	deterministic_value	int_t	int.zero	true	subtract.int_zero.int_zero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs member property.
result.success.int.zero	result.success.int.zero		chained_writable_path			supported	deterministic_value	int_t	int.zero	true	subtract.int_zero.int_zero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs chained writable path.
result.success.int.zero	result.success.int.nonzero		assignable_variable			supported	deterministic_value	int_t	int.neg_seven	true	subtract.int_zero.int_nonzero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs wrapper variable.
result.success.int.zero	result.success.int.nonzero		member_property			supported	deterministic_value	int_t	int.neg_seven	true	subtract.int_zero.int_nonzero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs member property.
result.success.int.zero	result.success.int.nonzero		chained_writable_path			supported	deterministic_value	int_t	int.neg_seven	true	subtract.int_zero.int_nonzero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs chained writable path.
result.success.int.nonzero	result.failure		assignable_variable			supported	throws	int_t	int.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.success.int.nonzero	result.failure		member_property			supported	throws	int_t	int.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.success.int.nonzero	result.failure		chained_writable_path			supported	throws	int_t	int.zero	true	subtract.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result.success.int.nonzero	result.success.int.zero		assignable_variable			supported	deterministic_value	int_t	int.nonzero	true	subtract.int_nonzero.int_zero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs wrapper variable.
result.success.int.nonzero	result.success.int.zero		member_property			supported	deterministic_value	int_t	int.nonzero	true	subtract.int_nonzero.int_zero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs member property.
result.success.int.nonzero	result.success.int.zero		chained_writable_path			supported	deterministic_value	int_t	int.nonzero	true	subtract.int_nonzero.int_zero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs chained writable path.
result.success.int.nonzero	result.success.int.nonzero		assignable_variable			supported	deterministic_value	int_t	int.zero	true	subtract.int_nonzero.int_nonzero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs wrapper variable.
result.success.int.nonzero	result.success.int.nonzero		member_property			supported	deterministic_value	int_t	int.zero	true	subtract.int_nonzero.int_nonzero	runtime_success		Lifted compound assignment unwraps wrapper operands, applies the established arithmetic operator, and writes the result back into the lhs member property.
