lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_false.sentinel.false	result_or_false.sentinel.false					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.sentinel.false.rhs.result_or_false.sentinel.false	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.sentinel.false	result_or_false.success.string.empty					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.sentinel.false.rhs.result_or_false.success.string.empty	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.sentinel.false	result_or_false.success.string.zero_string					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.sentinel.false.rhs.result_or_false.success.string.zero_string	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.sentinel.false	result_or_false.success.string.bool_false_literal					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.sentinel.false.rhs.result_or_false.success.string.bool_false_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.sentinel.false	result_or_false.success.string.bool_true_literal					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.sentinel.false.rhs.result_or_false.success.string.bool_true_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.sentinel.false	result_or_false.success.string.nonempty_nonzero_nonbool_literal					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.sentinel.false.rhs.result_or_false.success.string.nonempty_nonzero_nonbool_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.empty	result_or_false.sentinel.false					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.empty.rhs.result_or_false.sentinel.false	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.empty	result_or_false.success.string.empty					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.empty.rhs.result_or_false.success.string.empty	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.empty	result_or_false.success.string.zero_string					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.empty.rhs.result_or_false.success.string.zero_string	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.empty	result_or_false.success.string.bool_false_literal					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.empty.rhs.result_or_false.success.string.bool_false_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.empty	result_or_false.success.string.bool_true_literal					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.empty.rhs.result_or_false.success.string.bool_true_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.empty	result_or_false.success.string.nonempty_nonzero_nonbool_literal					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.empty.rhs.result_or_false.success.string.nonempty_nonzero_nonbool_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.zero_string	result_or_false.sentinel.false					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.zero_string.rhs.result_or_false.sentinel.false	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.zero_string	result_or_false.success.string.empty					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.zero_string.rhs.result_or_false.success.string.empty	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.zero_string	result_or_false.success.string.zero_string					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.zero_string.rhs.result_or_false.success.string.zero_string	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.zero_string	result_or_false.success.string.bool_false_literal					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.zero_string.rhs.result_or_false.success.string.bool_false_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.zero_string	result_or_false.success.string.bool_true_literal					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.zero_string.rhs.result_or_false.success.string.bool_true_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.zero_string	result_or_false.success.string.nonempty_nonzero_nonbool_literal					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.zero_string.rhs.result_or_false.success.string.nonempty_nonzero_nonbool_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.bool_false_literal	result_or_false.sentinel.false					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.bool_false_literal.rhs.result_or_false.sentinel.false	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.bool_false_literal	result_or_false.success.string.empty					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.bool_false_literal.rhs.result_or_false.success.string.empty	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.bool_false_literal	result_or_false.success.string.zero_string					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.bool_false_literal.rhs.result_or_false.success.string.zero_string	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.bool_false_literal	result_or_false.success.string.bool_false_literal					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.bool_false_literal.rhs.result_or_false.success.string.bool_false_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.bool_false_literal	result_or_false.success.string.bool_true_literal					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.bool_false_literal.rhs.result_or_false.success.string.bool_true_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.bool_false_literal	result_or_false.success.string.nonempty_nonzero_nonbool_literal					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.bool_false_literal.rhs.result_or_false.success.string.nonempty_nonzero_nonbool_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.bool_true_literal	result_or_false.sentinel.false					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.bool_true_literal.rhs.result_or_false.sentinel.false	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.bool_true_literal	result_or_false.success.string.empty					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.bool_true_literal.rhs.result_or_false.success.string.empty	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.bool_true_literal	result_or_false.success.string.zero_string					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.bool_true_literal.rhs.result_or_false.success.string.zero_string	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.bool_true_literal	result_or_false.success.string.bool_false_literal					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.bool_true_literal.rhs.result_or_false.success.string.bool_false_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.bool_true_literal	result_or_false.success.string.bool_true_literal					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.bool_true_literal.rhs.result_or_false.success.string.bool_true_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.bool_true_literal	result_or_false.success.string.nonempty_nonzero_nonbool_literal					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.bool_true_literal.rhs.result_or_false.success.string.nonempty_nonzero_nonbool_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.nonempty_nonzero_nonbool_literal	result_or_false.sentinel.false					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.nonempty_nonzero_nonbool_literal.rhs.result_or_false.sentinel.false	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.nonempty_nonzero_nonbool_literal	result_or_false.success.string.empty					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.nonempty_nonzero_nonbool_literal.rhs.result_or_false.success.string.empty	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.nonempty_nonzero_nonbool_literal	result_or_false.success.string.zero_string					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.nonempty_nonzero_nonbool_literal.rhs.result_or_false.success.string.zero_string	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.nonempty_nonzero_nonbool_literal	result_or_false.success.string.bool_false_literal					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.nonempty_nonzero_nonbool_literal.rhs.result_or_false.success.string.bool_false_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.nonempty_nonzero_nonbool_literal	result_or_false.success.string.bool_true_literal					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.nonempty_nonzero_nonbool_literal.rhs.result_or_false.success.string.bool_true_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result_or_false.success.string.nonempty_nonzero_nonbool_literal	result_or_false.success.string.nonempty_nonzero_nonbool_literal					compile_time_rejected				true	elvis.result_or_false<string_t>.result_or_false.success.string.nonempty_nonzero_nonbool_literal.rhs.result_or_false.success.string.nonempty_nonzero_nonbool_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
