"lhs_profile"	"rhs_profile"	"third_profile"	"lhs_target_kind"	"rhs_target_kind"	"third_target_kind"	"status"	"behavior_class"	"result_type"	"result_profile"	"edge_case"	"edge_case_id"	"test_seed_class"	"diagnostic_class"	"notes"
"mixed.null"	"mixed.null"	""	"assignable_variable"	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise_or_assign.mixed.non_int"	"runtime_throw"	""	"Compound |= delegates through the integer bitwise-or mixed surface when runtime kinds are int_t and assigns back into the lhs target."
"mixed.null"	"mixed.bool.false"	""	"assignable_variable"	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise_or_assign.mixed.non_int"	"runtime_throw"	""	"Compound |= delegates through the integer bitwise-or mixed surface when runtime kinds are int_t and assigns back into the lhs target."
"mixed.null"	"mixed.bool.true"	""	"assignable_variable"	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise_or_assign.mixed.non_int"	"runtime_throw"	""	"Compound |= delegates through the integer bitwise-or mixed surface when runtime kinds are int_t and assigns back into the lhs target."
"mixed.null"	"mixed.int.zero"	""	"assignable_variable"	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise_or_assign.mixed.non_int"	"runtime_throw"	""	"Compound |= delegates through the integer bitwise-or mixed surface when runtime kinds are int_t and assigns back into the lhs target."
"mixed.null"	"mixed.int.nonzero"	""	"assignable_variable"	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise_or_assign.mixed.non_int"	"runtime_throw"	""	"Compound |= delegates through the integer bitwise-or mixed surface when runtime kinds are int_t and assigns back into the lhs target."
"mixed.null"	"mixed.float.zero"	""	"assignable_variable"	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise_or_assign.mixed.non_int"	"runtime_throw"	""	"Compound |= delegates through the integer bitwise-or mixed surface when runtime kinds are int_t and assigns back into the lhs target."
"mixed.null"	"mixed.float.nonzero"	""	"assignable_variable"	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise_or_assign.mixed.non_int"	"runtime_throw"	""	"Compound |= delegates through the integer bitwise-or mixed surface when runtime kinds are int_t and assigns back into the lhs target."
"mixed.null"	"mixed.string.empty"	""	"assignable_variable"	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise_or_assign.mixed.non_int"	"runtime_throw"	""	"Compound |= delegates through the integer bitwise-or mixed surface when runtime kinds are int_t and assigns back into the lhs target."
"mixed.null"	"mixed.string.zero_string"	""	"assignable_variable"	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise_or_assign.mixed.non_int"	"runtime_throw"	""	"Compound |= delegates through the integer bitwise-or mixed surface when runtime kinds are int_t and assigns back into the lhs target."
"mixed.null"	"mixed.string.bool_false_literal"	""	"assignable_variable"	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise_or_assign.mixed.non_int"	"runtime_throw"	""	"Compound |= delegates through the integer bitwise-or mixed surface when runtime kinds are int_t and assigns back into the lhs target."
