lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	mixed.null					supported	deterministic_value	bool_t	bool.false	true	logical_or.mixed.null.mixed.null	runtime_success		Mixed logical dispatch uses the same condition-truthiness bridge as ordinary condition contexts.
mixed.null	mixed.bool.false					supported	deterministic_value	bool_t	bool.false	true	logical_or.mixed.null.mixed.bool.false	runtime_success		Mixed logical dispatch uses the same condition-truthiness bridge as ordinary condition contexts.
mixed.null	mixed.bool.true					supported	deterministic_value	bool_t	bool.true	true	logical_or.mixed.null.mixed.bool.true	runtime_success		Mixed logical dispatch uses the same condition-truthiness bridge as ordinary condition contexts.
mixed.null	mixed.int.zero					supported	deterministic_value	bool_t	bool.false	true	logical_or.mixed.null.mixed.int.zero	runtime_success		Mixed logical dispatch uses the same condition-truthiness bridge as ordinary condition contexts.
mixed.null	mixed.int.nonzero					supported	deterministic_value	bool_t	bool.true	true	logical_or.mixed.null.mixed.int.nonzero	runtime_success		Mixed logical dispatch uses the same condition-truthiness bridge as ordinary condition contexts.
mixed.null	mixed.float.zero					supported	deterministic_value	bool_t	bool.false	true	logical_or.mixed.null.mixed.float.zero	runtime_success		Mixed logical dispatch uses the same condition-truthiness bridge as ordinary condition contexts.
mixed.null	mixed.float.nonzero					supported	deterministic_value	bool_t	bool.true	true	logical_or.mixed.null.mixed.float.nonzero	runtime_success		Mixed logical dispatch uses the same condition-truthiness bridge as ordinary condition contexts.
mixed.null	mixed.string.empty					supported	deterministic_value	bool_t	bool.false	true	logical_or.mixed.null.mixed.string.empty	runtime_success		Mixed logical dispatch uses the same condition-truthiness bridge as ordinary condition contexts.
mixed.null	mixed.string.zero_string					supported	deterministic_value	bool_t	bool.false	true	logical_or.mixed.null.mixed.string.zero_string	runtime_success		Mixed logical dispatch uses the same condition-truthiness bridge as ordinary condition contexts.
mixed.null	mixed.string.bool_false_literal					supported	deterministic_value	bool_t	bool.true	true	logical_or.mixed.null.mixed.string.bool_false_literal	runtime_success		Mixed logical dispatch uses the same condition-truthiness bridge as ordinary condition contexts.
