lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
string.empty	string.empty					supported	deterministic_value	string_t	string.empty	true	elvis.string_t.string.empty.rhs.string.empty	runtime_success		Elvis uses PHP-style string condition truthiness and then selects the matching branch.
string.empty	string.zero_string					supported	deterministic_value	string_t	string.zero_string	true	elvis.string_t.string.empty.rhs.string.zero_string	runtime_success		Elvis uses PHP-style string condition truthiness and then selects the matching branch.
string.empty	string.bool_false_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	elvis.string_t.string.empty.rhs.string.bool_false_literal	runtime_success		Elvis uses PHP-style string condition truthiness and then selects the matching branch.
string.empty	string.bool_true_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	elvis.string_t.string.empty.rhs.string.bool_true_literal	runtime_success		Elvis uses PHP-style string condition truthiness and then selects the matching branch.
string.empty	string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	elvis.string_t.string.empty.rhs.string.nonempty_nonzero_nonbool_literal	runtime_success		Elvis uses PHP-style string condition truthiness and then selects the matching branch.
string.zero_string	string.empty					supported	deterministic_value	string_t	string.empty	true	elvis.string_t.string.zero_string.rhs.string.empty	runtime_success		Elvis uses PHP-style string condition truthiness and then selects the matching branch.
string.zero_string	string.zero_string					supported	deterministic_value	string_t	string.zero_string	true	elvis.string_t.string.zero_string.rhs.string.zero_string	runtime_success		Elvis uses PHP-style string condition truthiness and then selects the matching branch.
string.zero_string	string.bool_false_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	elvis.string_t.string.zero_string.rhs.string.bool_false_literal	runtime_success		Elvis uses PHP-style string condition truthiness and then selects the matching branch.
string.zero_string	string.bool_true_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	elvis.string_t.string.zero_string.rhs.string.bool_true_literal	runtime_success		Elvis uses PHP-style string condition truthiness and then selects the matching branch.
string.zero_string	string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	elvis.string_t.string.zero_string.rhs.string.nonempty_nonzero_nonbool_literal	runtime_success		Elvis uses PHP-style string condition truthiness and then selects the matching branch.
string.bool_false_literal	string.empty					supported	deterministic_value	string_t	string.bool_false_literal	true	elvis.string_t.string.bool_false_literal.rhs.string.empty	runtime_success		Elvis uses PHP-style string condition truthiness and then selects the matching branch.
string.bool_false_literal	string.zero_string					supported	deterministic_value	string_t	string.bool_false_literal	true	elvis.string_t.string.bool_false_literal.rhs.string.zero_string	runtime_success		Elvis uses PHP-style string condition truthiness and then selects the matching branch.
string.bool_false_literal	string.bool_false_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	elvis.string_t.string.bool_false_literal.rhs.string.bool_false_literal	runtime_success		Elvis uses PHP-style string condition truthiness and then selects the matching branch.
string.bool_false_literal	string.bool_true_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	elvis.string_t.string.bool_false_literal.rhs.string.bool_true_literal	runtime_success		Elvis uses PHP-style string condition truthiness and then selects the matching branch.
string.bool_false_literal	string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	elvis.string_t.string.bool_false_literal.rhs.string.nonempty_nonzero_nonbool_literal	runtime_success		Elvis uses PHP-style string condition truthiness and then selects the matching branch.
string.bool_true_literal	string.empty					supported	deterministic_value	string_t	string.bool_true_literal	true	elvis.string_t.string.bool_true_literal.rhs.string.empty	runtime_success		Elvis uses PHP-style string condition truthiness and then selects the matching branch.
string.bool_true_literal	string.zero_string					supported	deterministic_value	string_t	string.bool_true_literal	true	elvis.string_t.string.bool_true_literal.rhs.string.zero_string	runtime_success		Elvis uses PHP-style string condition truthiness and then selects the matching branch.
string.bool_true_literal	string.bool_false_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	elvis.string_t.string.bool_true_literal.rhs.string.bool_false_literal	runtime_success		Elvis uses PHP-style string condition truthiness and then selects the matching branch.
