lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_false.sentinel.false	nullable.empty					supported	throws			true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.sentinel.false.rhs.nullable.empty	coalesce_runtime_reject	coalesce_selected_branch_has_no_usable_value_domain	Both sides reduce to fallback-triggering states for this explicit profile combination; coalesce working slice runtime-rejects rows without a usable selected value domain.
result_or_false.sentinel.false	nullable.present.string.empty					supported	deterministic_value	string_t	string.empty	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.sentinel.false.rhs.nullable.present.string.empty	coalesce_wrapper		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	nullable.present.string.zero_string					supported	deterministic_value	string_t	string.zero_string	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.sentinel.false.rhs.nullable.present.string.zero_string	coalesce_wrapper		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	nullable.present.string.bool_false_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.sentinel.false.rhs.nullable.present.string.bool_false_literal	coalesce_wrapper		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	nullable.present.string.bool_true_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.sentinel.false.rhs.nullable.present.string.bool_true_literal	coalesce_wrapper		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	nullable.present.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.sentinel.false.rhs.nullable.present.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.success.string.empty	nullable.empty					supported	deterministic_value	string_t	string.empty	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.empty.rhs.nullable.empty	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.empty	nullable.present.string.empty					supported	deterministic_value	string_t	string.empty	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.empty.rhs.nullable.present.string.empty	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.empty	nullable.present.string.zero_string					supported	deterministic_value	string_t	string.empty	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.empty.rhs.nullable.present.string.zero_string	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.empty	nullable.present.string.bool_false_literal					supported	deterministic_value	string_t	string.empty	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.empty.rhs.nullable.present.string.bool_false_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.empty	nullable.present.string.bool_true_literal					supported	deterministic_value	string_t	string.empty	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.empty.rhs.nullable.present.string.bool_true_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.empty	nullable.present.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.empty	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.empty.rhs.nullable.present.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.zero_string	nullable.empty					supported	deterministic_value	string_t	string.zero_string	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.zero_string.rhs.nullable.empty	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.zero_string	nullable.present.string.empty					supported	deterministic_value	string_t	string.zero_string	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.zero_string.rhs.nullable.present.string.empty	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.zero_string	nullable.present.string.zero_string					supported	deterministic_value	string_t	string.zero_string	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.zero_string.rhs.nullable.present.string.zero_string	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.zero_string	nullable.present.string.bool_false_literal					supported	deterministic_value	string_t	string.zero_string	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.zero_string.rhs.nullable.present.string.bool_false_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.zero_string	nullable.present.string.bool_true_literal					supported	deterministic_value	string_t	string.zero_string	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.zero_string.rhs.nullable.present.string.bool_true_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.zero_string	nullable.present.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.zero_string	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.zero_string.rhs.nullable.present.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_false_literal	nullable.empty					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.bool_false_literal.rhs.nullable.empty	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_false_literal	nullable.present.string.empty					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.bool_false_literal.rhs.nullable.present.string.empty	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_false_literal	nullable.present.string.zero_string					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.bool_false_literal.rhs.nullable.present.string.zero_string	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_false_literal	nullable.present.string.bool_false_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.bool_false_literal.rhs.nullable.present.string.bool_false_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_false_literal	nullable.present.string.bool_true_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.bool_false_literal.rhs.nullable.present.string.bool_true_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_false_literal	nullable.present.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.bool_false_literal.rhs.nullable.present.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_true_literal	nullable.empty					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.bool_true_literal.rhs.nullable.empty	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_true_literal	nullable.present.string.empty					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.bool_true_literal.rhs.nullable.present.string.empty	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_true_literal	nullable.present.string.zero_string					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.bool_true_literal.rhs.nullable.present.string.zero_string	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_true_literal	nullable.present.string.bool_false_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.bool_true_literal.rhs.nullable.present.string.bool_false_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_true_literal	nullable.present.string.bool_true_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.bool_true_literal.rhs.nullable.present.string.bool_true_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.bool_true_literal	nullable.present.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.bool_true_literal.rhs.nullable.present.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.nonempty_nonzero_nonbool_literal	nullable.empty					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.nonempty_nonzero_nonbool_literal.rhs.nullable.empty	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.nonempty_nonzero_nonbool_literal	nullable.present.string.empty					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.nonempty_nonzero_nonbool_literal.rhs.nullable.present.string.empty	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.nonempty_nonzero_nonbool_literal	nullable.present.string.zero_string					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.nonempty_nonzero_nonbool_literal.rhs.nullable.present.string.zero_string	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.nonempty_nonzero_nonbool_literal	nullable.present.string.bool_false_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.nonempty_nonzero_nonbool_literal.rhs.nullable.present.string.bool_false_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.nonempty_nonzero_nonbool_literal	nullable.present.string.bool_true_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.nonempty_nonzero_nonbool_literal.rhs.nullable.present.string.bool_true_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.string.nonempty_nonzero_nonbool_literal	nullable.present.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.result_or_false(string_t).nullable(string_t).result_or_false.success.string.nonempty_nonzero_nonbool_literal.rhs.nullable.present.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
