lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
nullable.empty	nullable.empty		assignable_variable			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
nullable.empty	nullable.empty		member_property			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
nullable.empty	nullable.empty		chained_writable_path			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
nullable.empty	nullable.present.int.zero		assignable_variable			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
nullable.empty	nullable.present.int.zero		member_property			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
nullable.empty	nullable.present.int.zero		chained_writable_path			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
nullable.empty	nullable.present.int.nonzero		assignable_variable			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
nullable.empty	nullable.present.int.nonzero		member_property			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
nullable.empty	nullable.present.int.nonzero		chained_writable_path			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
nullable.present.int.zero	nullable.empty		assignable_variable			supported	throws	int_t	int.zero	true	modulo.wrapper.empty	runtime_throw	invalid_nullable_unwrap_empty	Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
