lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_bool.sentinel.false	result.failure					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.sentinel.false.rhs.result.failure	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	result.success.string.empty					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.sentinel.false.rhs.result.success.string.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	result.success.string.zero_string					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.sentinel.false.rhs.result.success.string.zero_string	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	result.success.string.bool_false_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.sentinel.false.rhs.result.success.string.bool_false_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	result.success.string.bool_true_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.sentinel.false.rhs.result.success.string.bool_true_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	result.success.string.nonempty_nonzero_nonbool_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.sentinel.false.rhs.result.success.string.nonempty_nonzero_nonbool_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	result.failure					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.sentinel.true.rhs.result.failure	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	result.success.string.empty					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.sentinel.true.rhs.result.success.string.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	result.success.string.zero_string					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.sentinel.true.rhs.result.success.string.zero_string	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	result.success.string.bool_false_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.sentinel.true.rhs.result.success.string.bool_false_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	result.success.string.bool_true_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.sentinel.true.rhs.result.success.string.bool_true_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	result.success.string.nonempty_nonzero_nonbool_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.sentinel.true.rhs.result.success.string.nonempty_nonzero_nonbool_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.empty	result.failure					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.success.string.empty.rhs.result.failure	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.empty	result.success.string.empty					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.success.string.empty.rhs.result.success.string.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.empty	result.success.string.zero_string					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.success.string.empty.rhs.result.success.string.zero_string	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.empty	result.success.string.bool_false_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.success.string.empty.rhs.result.success.string.bool_false_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.empty	result.success.string.bool_true_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.success.string.empty.rhs.result.success.string.bool_true_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.empty	result.success.string.nonempty_nonzero_nonbool_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.success.string.empty.rhs.result.success.string.nonempty_nonzero_nonbool_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.zero_string	result.failure					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.success.string.zero_string.rhs.result.failure	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.zero_string	result.success.string.empty					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.success.string.zero_string.rhs.result.success.string.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.zero_string	result.success.string.zero_string					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.success.string.zero_string.rhs.result.success.string.zero_string	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.string.zero_string	result.success.string.bool_false_literal					supported	throws			true	coalesce.reject.result_or_bool(string_t).result(string_t).result_or_bool.success.string.zero_string.rhs.result.success.string.bool_false_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
