lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_bool.sentinel.false	nullable.empty					supported	throws			true	coalesce.reject.result_or_bool(int_t).nullable(int_t).result_or_bool.sentinel.false.rhs.nullable.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	nullable.present.int.zero					supported	throws			true	coalesce.reject.result_or_bool(int_t).nullable(int_t).result_or_bool.sentinel.false.rhs.nullable.present.int.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	nullable.present.int.nonzero					supported	throws			true	coalesce.reject.result_or_bool(int_t).nullable(int_t).result_or_bool.sentinel.false.rhs.nullable.present.int.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	nullable.empty					supported	throws			true	coalesce.reject.result_or_bool(int_t).nullable(int_t).result_or_bool.sentinel.true.rhs.nullable.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	nullable.present.int.zero					supported	throws			true	coalesce.reject.result_or_bool(int_t).nullable(int_t).result_or_bool.sentinel.true.rhs.nullable.present.int.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	nullable.present.int.nonzero					supported	throws			true	coalesce.reject.result_or_bool(int_t).nullable(int_t).result_or_bool.sentinel.true.rhs.nullable.present.int.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.int.zero	nullable.empty					supported	throws			true	coalesce.reject.result_or_bool(int_t).nullable(int_t).result_or_bool.success.int.zero.rhs.nullable.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.int.zero	nullable.present.int.zero					supported	throws			true	coalesce.reject.result_or_bool(int_t).nullable(int_t).result_or_bool.success.int.zero.rhs.nullable.present.int.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.int.zero	nullable.present.int.nonzero					supported	throws			true	coalesce.reject.result_or_bool(int_t).nullable(int_t).result_or_bool.success.int.zero.rhs.nullable.present.int.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.int.nonzero	nullable.empty					supported	throws			true	coalesce.reject.result_or_bool(int_t).nullable(int_t).result_or_bool.success.int.nonzero.rhs.nullable.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.int.nonzero	nullable.present.int.zero					supported	throws			true	coalesce.reject.result_or_bool(int_t).nullable(int_t).result_or_bool.success.int.nonzero.rhs.nullable.present.int.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.int.nonzero	nullable.present.int.nonzero					supported	throws			true	coalesce.reject.result_or_bool(int_t).nullable(int_t).result_or_bool.success.int.nonzero.rhs.nullable.present.int.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
