lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_bool.sentinel.false	result_or_bool.sentinel.false					supported	deterministic_value	bool_t	bool.true	true	identical.result_or_bool_sentinel_false.result_or_bool_sentinel_false	runtime_success		result_or_bool strict identity normalizes sentinel states to PHP booleans and otherwise compares visible payloads strictly.
result_or_bool.sentinel.false	result_or_bool.sentinel.true					supported	deterministic_value	bool_t	bool.false	true	identical.result_or_bool_sentinel_false.result_or_bool_sentinel_true	runtime_success		result_or_bool strict identity normalizes sentinel states to PHP booleans and otherwise compares visible payloads strictly.
result_or_bool.sentinel.false	result_or_bool.success.int.zero					supported	deterministic_value	bool_t	bool.false	true	identical.result_or_bool_sentinel_false.result_or_bool_success_int_zero	runtime_success		result_or_bool strict identity normalizes sentinel states to PHP booleans and otherwise compares visible payloads strictly.
result_or_bool.sentinel.false	result_or_bool.success.int.nonzero					supported	deterministic_value	bool_t	bool.false	true	identical.result_or_bool_sentinel_false.result_or_bool_success_int_nonzero	runtime_success		result_or_bool strict identity normalizes sentinel states to PHP booleans and otherwise compares visible payloads strictly.
result_or_bool.sentinel.true	result_or_bool.sentinel.false					supported	deterministic_value	bool_t	bool.false	true	identical.result_or_bool_sentinel_true.result_or_bool_sentinel_false	runtime_success		result_or_bool strict identity normalizes sentinel states to PHP booleans and otherwise compares visible payloads strictly.
result_or_bool.sentinel.true	result_or_bool.sentinel.true					supported	deterministic_value	bool_t	bool.true	true	identical.result_or_bool_sentinel_true.result_or_bool_sentinel_true	runtime_success		result_or_bool strict identity normalizes sentinel states to PHP booleans and otherwise compares visible payloads strictly.
result_or_bool.sentinel.true	result_or_bool.success.int.zero					supported	deterministic_value	bool_t	bool.false	true	identical.result_or_bool_sentinel_true.result_or_bool_success_int_zero	runtime_success		result_or_bool strict identity normalizes sentinel states to PHP booleans and otherwise compares visible payloads strictly.
result_or_bool.sentinel.true	result_or_bool.success.int.nonzero					supported	deterministic_value	bool_t	bool.false	true	identical.result_or_bool_sentinel_true.result_or_bool_success_int_nonzero	runtime_success		result_or_bool strict identity normalizes sentinel states to PHP booleans and otherwise compares visible payloads strictly.
result_or_bool.success.int.zero	result_or_bool.sentinel.false					supported	deterministic_value	bool_t	bool.false	true	identical.result_or_bool_success_int_zero.result_or_bool_sentinel_false	runtime_success		result_or_bool strict identity normalizes sentinel states to PHP booleans and otherwise compares visible payloads strictly.
result_or_bool.success.int.zero	result_or_bool.sentinel.true					supported	deterministic_value	bool_t	bool.false	true	identical.result_or_bool_success_int_zero.result_or_bool_sentinel_true	runtime_success		result_or_bool strict identity normalizes sentinel states to PHP booleans and otherwise compares visible payloads strictly.
result_or_bool.success.int.zero	result_or_bool.success.int.zero					supported	deterministic_value	bool_t	bool.true	true	identical.result_or_bool_success_int_zero.result_or_bool_success_int_zero	runtime_success		result_or_bool strict identity normalizes sentinel states to PHP booleans and otherwise compares visible payloads strictly.
result_or_bool.success.int.zero	result_or_bool.success.int.nonzero					supported	deterministic_value	bool_t	bool.false	true	identical.result_or_bool_success_int_zero.result_or_bool_success_int_nonzero	runtime_success		result_or_bool strict identity normalizes sentinel states to PHP booleans and otherwise compares visible payloads strictly.
result_or_bool.success.int.nonzero	result_or_bool.sentinel.false					supported	deterministic_value	bool_t	bool.false	true	identical.result_or_bool_success_int_nonzero.result_or_bool_sentinel_false	runtime_success		result_or_bool strict identity normalizes sentinel states to PHP booleans and otherwise compares visible payloads strictly.
result_or_bool.success.int.nonzero	result_or_bool.sentinel.true					supported	deterministic_value	bool_t	bool.false	true	identical.result_or_bool_success_int_nonzero.result_or_bool_sentinel_true	runtime_success		result_or_bool strict identity normalizes sentinel states to PHP booleans and otherwise compares visible payloads strictly.
result_or_bool.success.int.nonzero	result_or_bool.success.int.zero					supported	deterministic_value	bool_t	bool.false	true	identical.result_or_bool_success_int_nonzero.result_or_bool_success_int_zero	runtime_success		result_or_bool strict identity normalizes sentinel states to PHP booleans and otherwise compares visible payloads strictly.
result_or_bool.success.int.nonzero	result_or_bool.success.int.nonzero					supported	deterministic_value	bool_t	bool.true	true	identical.result_or_bool_success_int_nonzero.result_or_bool_success_int_nonzero	runtime_success		result_or_bool strict identity normalizes sentinel states to PHP booleans and otherwise compares visible payloads strictly.
