lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_bool.sentinel.false	result_or_false.sentinel.false					supported	throws			true	coalesce.reject.result_or_bool(int_t).result_or_false(int_t).result_or_bool.sentinel.false.rhs.result_or_false.sentinel.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	result_or_false.success.int.zero					supported	throws			true	coalesce.reject.result_or_bool(int_t).result_or_false(int_t).result_or_bool.sentinel.false.rhs.result_or_false.success.int.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	result_or_false.success.int.nonzero					supported	throws			true	coalesce.reject.result_or_bool(int_t).result_or_false(int_t).result_or_bool.sentinel.false.rhs.result_or_false.success.int.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	result_or_false.sentinel.false					supported	throws			true	coalesce.reject.result_or_bool(int_t).result_or_false(int_t).result_or_bool.sentinel.true.rhs.result_or_false.sentinel.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	result_or_false.success.int.zero					supported	throws			true	coalesce.reject.result_or_bool(int_t).result_or_false(int_t).result_or_bool.sentinel.true.rhs.result_or_false.success.int.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	result_or_false.success.int.nonzero					supported	throws			true	coalesce.reject.result_or_bool(int_t).result_or_false(int_t).result_or_bool.sentinel.true.rhs.result_or_false.success.int.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.int.zero	result_or_false.sentinel.false					supported	throws			true	coalesce.reject.result_or_bool(int_t).result_or_false(int_t).result_or_bool.success.int.zero.rhs.result_or_false.sentinel.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.int.zero	result_or_false.success.int.zero					supported	throws			true	coalesce.reject.result_or_bool(int_t).result_or_false(int_t).result_or_bool.success.int.zero.rhs.result_or_false.success.int.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.int.zero	result_or_false.success.int.nonzero					supported	throws			true	coalesce.reject.result_or_bool(int_t).result_or_false(int_t).result_or_bool.success.int.zero.rhs.result_or_false.success.int.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.int.nonzero	result_or_false.sentinel.false					supported	throws			true	coalesce.reject.result_or_bool(int_t).result_or_false(int_t).result_or_bool.success.int.nonzero.rhs.result_or_false.sentinel.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.int.nonzero	result_or_false.success.int.zero					supported	throws			true	coalesce.reject.result_or_bool(int_t).result_or_false(int_t).result_or_bool.success.int.nonzero.rhs.result_or_false.success.int.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.int.nonzero	result_or_false.success.int.nonzero					supported	throws			true	coalesce.reject.result_or_bool(int_t).result_or_false(int_t).result_or_bool.success.int.nonzero.rhs.result_or_false.success.int.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
